OSE    Protein
OTYR    Protein
PBF    Protein
PF5    Protein
PFF    Protein
PHD    Protein
PHDP    Protein
PHI    Protein
PIA    Protein
PM3    Protein
PPN    Protein
PR3    Protein
PR4    Protein
PRK    Protein
PRS    Protein
PRV    Protein
PXU    Protein
PYR2    Protein
PYR3    Protein
PYR4    Protein
PYZ1    Protein
QCS    Protein
QPA    Protein
QU32    Protein
QU33    Protein
QU34    Protein
QU35    Protein
QU36    Protein
QX32    Protein
R1A    Protein
SBG    Protein
SCH    Protein
SCS    Protein
SDP    Protein
SEB    Protein
SEN    Protein
SGB    Protein
SLZ    Protein
SM014    Protein
SM023    Protein
SM032    Protein
SM035    Protein
SM056    Protein
SM070    Protein
SM071    Protein
SM076    Protein
SM078    Protein
SM095    Protein
SM114    Protein
SM115    Protein
SM119    Protein
SM120    Protein
SM136    Protein
SM138    Protein
SM140    Protein
SM154    Protein
SM155    Protein
SM190    Protein
SM191    Protein
SM192    Protein
SM195    Protein
SM206    Protein
SM209    Protein
SM210    Protein
SM222    Protein
SM223    Protein
SM226    Protein
SM228    Protein
SM229    Protein
SM230    Protein
SM231    Protein
SM232    Protein
SM235    Protein
SM236    Protein
SMC    Protein
SME    Protein
SNC    Protein
STYA    Protein
SUI    Protein
SUN    Protein
SVV    Protein
SVX    Protein
SVY    Protein
SWG    Protein
SYM    Protein
TBP4    Protein
TEZA    Protein
TFG2    Protein
TFG3    Protein
TFG4    Protein
TFLE    Protein
TFP2    Protein
TFP3    Protein
TFP4    Protein
TH6    Protein
THA3    Protein
THG2    Protein
THG3    Protein
THIC    Protein
TIH    Protein
TOX    Protein
TPQ    Protein
TPQP    Protein
TQQ    Protein
TRO    Protein
TRQ    Protein
TRW    Protein
TRX    Protein
TS9    Protein
TTQ    Protein
TY2    Protein
TYI    Protein
TYQ    Protein
TYS    Protein
TZA4    Protein
UN1    Protein
VAH    Protein
WFP    Protein
XCN    Protein
XYG    Protein
YCM    Protein
YOF    Protein
PTR    Protein
SEP    Protein
TPO    Protein
13DB    Protein
13DP    Protein
BTE2    Protein
CROT    Protein
DMB1    Protein
DMP1    Protein
DMP2    Protein
FRET    Protein
HEP3    Protein
LYR    Protein
MECH    Protein
PACP    Protein
PRAC    Protein
PRAL    Protein
PROL    Protein
RTAC    Protein
RTAL    Protein
RTOL    Protein
SCH1    Protein
SCH2    Protein
SCH3    Protein
TMCH    Protein
ACE    Protein
ALA    Protein
ALAD    Protein
ARG    Protein
ARGN    Protein
ARGN1    Protein
ARGN2    Protein
ARGN3    Protein
ASN    Protein
ASP    Protein
ASPP    Protein
CYM    Protein
CYN    Protein
CYS    Protein
CYS2    Protein
GLN    Protein
GLU    Protein
GLUP    Protein
GLY    Protein
HSD    Protein
HSE    Protein
HSP    Protein
ILE    Protein
LEU    Protein
LSN    Protein
LYS    Protein
MET    Protein
NME    Protein
PHE    Protein
PRO    Protein
SER    Protein
SP1    Protein
SP2    Protein
THP1    Protein
THP2    Protein
THR    Protein
TP1    Protein
TP2    Protein
TRP    Protein
TYR    Protein
VAL    Protein
SOD    Ion
CLA    Ion
